run,seed,return_pct,win_rate,max_dd_pct,trades,pf
1,0,82.62,88.9,1.78,18,20.55
2,1,61.49,66.7,4.90,21,8.27
3,2,110.77,80.8,2.18,26,11.31
4,3,77.80,77.3,2.79,22,14.69
5,4,60.46,72.7,2.76,22,9.49
6,5,109.46,89.5,2.54,19,18.72
7,6,101.52,88.9,2.54,18,17.43
8,7,83.74,77.3,4.43,22,8.71
9,8,64.24,71.4,2.79,21,10.02
10,9,79.68,84.2,3.16,19,13.48
11,10,92.62,83.3,2.54,18,15.03
12,11,75.46,83.3,3.10,18,12.82
13,12,84.32,85.0,3.23,20,14.20
14,13,71.74,70.8,5.48,24,6.00
15,14,106.12,80.0,2.68,25,11.55
16,15,72.32,76.2,2.65,21,12.18
17,16,54.56,70.8,5.29,24,4.54
18,17,99.23,88.2,2.54,17,17.06
19,18,75.41,72.7,2.76,22,11.59
20,19,94.49,83.3,2.24,18,22.01
21,20,75.17,75.0,2.59,16,14.06
22,21,67.89,76.2,2.79,21,12.79
23,22,75.96,73.9,2.66,23,11.67
24,23,69.53,72.7,6.72,22,5.94
25,24,100.19,88.2,1.06,17,78.60
26,25,78.16,84.2,3.16,19,13.24
27,26,94.49,83.3,2.24,18,22.01
28,27,98.24,93.3,0.04,15,1255.84
29,28,117.04,80.8,3.68,26,11.94
30,29,94.83,88.9,2.54,18,16.35
31,30,112.65,94.4,2.22,18,38.58
32,31,117.74,76.0,1.89,25,14.00
33,32,116.69,73.1,4.22,26,12.25
34,33,114.70,94.4,2.18,18,39.26
35,34,81.62,89.5,2.54,19,14.21
36,35,100.15,94.1,2.26,17,34.41
37,36,54.97,77.3,5.22,22,5.49
38,37,105.19,88.9,1.06,18,82.48
39,38,98.60,88.9,2.18,18,31.01
40,39,71.28,72.7,2.79,22,11.01
41,40,78.16,84.2,3.16,19,13.24
42,41,78.16,84.2,3.16,19,13.24
43,42,104.30,94.1,0.04,17,1333.21
44,43,103.70,76.0,2.68,25,10.08
45,44,73.16,83.3,3.16,18,12.46
46,45,54.39,77.3,5.24,22,5.44
47,46,127.42,81.5,1.81,27,15.88
48,47,80.88,78.3,4.22,23,8.44
49,48,117.65,94.7,2.22,19,40.25
50,49,114.18,76.0,1.93,25,13.61
51,50,73.43,88.2,3.23,17,21.15
52,51,63.39,71.4,2.79,21,9.90
53,52,88.48,75.0,4.43,24,8.95
54,53,109.46,89.5,2.54,19,18.72
55,54,81.34,72.7,2.79,22,12.42
56,55,85.66,73.1,4.91,26,7.72
57,56,117.65,94.7,2.22,19,40.25
58,57,125.72,82.1,2.18,28,12.70
59,58,117.65,94.7,2.22,19,40.25
60,59,67.35,75.0,2.53,20,11.41
61,60,100.42,87.5,4.43,24,21.18
62,61,64.05,77.8,4.74,18,7.83
63,62,100.07,94.1,2.18,17,34.38
64,63,78.16,84.2,3.16,19,13.24
65,64,65.70,82.4,3.16,17,11.29
66,65,69.05,78.9,4.74,19,8.36
67,66,127.16,81.5,2.02,27,12.83
68,67,108.41,76.0,4.38,25,9.98
69,68,88.79,86.7,1.08,15,69.77
70,69,100.19,88.2,1.06,17,78.60
71,70,117.82,80.8,2.17,26,11.97
72,71,72.00,73.9,5.48,23,6.12
73,72,94.82,76.0,2.12,25,11.61
74,73,63.58,73.9,4.43,23,6.22
75,74,92.54,88.2,2.54,17,15.98
76,75,58.41,83.3,3.16,18,10.15
77,76,46.63,69.6,5.48,23,4.03
78,77,72.24,73.9,5.47,23,6.13
79,78,84.13,81.8,2.62,22,17.72
80,79,66.49,68.2,4.90,22,8.86
81,80,74.99,81.8,4.43,22,8.20
82,81,117.65,94.7,2.22,19,40.25
83,82,78.48,77.3,2.65,22,13.13
84,83,84.68,85.0,3.16,20,14.26
85,84,94.49,83.3,2.24,18,22.01
86,85,70.22,77.3,2.66,22,13.35
87,86,105.75,77.8,3.01,27,10.26
88,87,85.75,76.2,2.79,21,16.09
89,88,75.70,84.2,3.16,19,12.85
90,89,115.26,74.1,4.25,27,10.04
91,90,64.17,72.7,2.53,22,7.63
92,91,109.26,76.0,4.36,25,10.05
93,92,70.68,83.3,3.23,18,12.07
94,93,78.16,84.2,3.16,19,13.24
95,94,89.80,94.7,2.22,19,30.96
96,95,124.03,94.7,2.12,19,42.38
97,96,40.00,65.2,5.48,23,3.24
98,97,72.83,72.7,2.79,22,11.23
99,98,77.96,72.0,5.25,25,6.44
100,99,81.94,88.9,1.84,18,17.71
