run,seed,return_pct,win_rate,max_dd_pct,pf,expectancy,trades,final_equity
0,42,-1116.71,42.86,26.87,0.52,-159.43,7,-1016.71
1,43,-1138.67,44.44,50.82,0.52,-126.42,9,-1038.67
2,44,1131.98,50.00,30.98,1.97,141.60,8,1231.98
3,46,3596.37,75.00,11.20,334.11,899.19,4,3696.37
4,45,3623.58,83.33,7.92,195.72,604.03,6,3723.58
5,47,3494.16,72.73,5.91,123.24,317.75,11,3594.16
6,49,-1118.67,50.00,31.80,0.52,-139.73,8,-1018.67
7,50,-1138.00,37.50,51.18,0.52,-142.15,8,-1038.00
8,48,3398.79,55.56,18.42,97.81,377.74,9,3498.79
9,52,1081.15,44.44,69.08,1.88,120.23,9,1181.15
10,53,3610.59,100.00,0.30,999.00,1203.63,3,3710.59
11,51,-3425.59,32.00,98.44,0.04,-136.92,25,-3325.59
12,54,3385.33,62.50,29.72,67.20,423.27,8,3485.33
13,55,-1101.94,50.00,42.16,0.53,-137.64,8,-1001.94
14,57,3423.19,63.64,33.50,53.20,311.30,11,3523.19
15,56,3401.89,54.55,37.95,45.05,309.36,11,3501.89
16,59,-1108.68,50.00,30.06,0.52,-184.68,6,-1008.68
17,58,1082.30,45.45,93.32,1.88,98.49,11,1182.30
18,60,-3397.89,40.00,44.50,0.04,-339.69,10,-3297.89
19,61,3596.10,75.00,11.21,333.83,899.13,4,3696.10
20,62,3375.37,55.56,37.41,56.66,375.14,9,3475.37
21,63,-3415.36,16.67,29.39,0.01,-569.13,6,-3315.36
22,64,1036.16,37.50,101.65,1.85,129.62,8,1136.16
23,65,3596.19,75.00,11.21,333.80,899.15,4,3696.19
24,66,3597.96,80.00,9.52,194.31,719.69,5,3697.96
25,67,3605.11,62.50,10.89,63.11,225.43,16,3705.11
26,68,1028.19,42.86,100.82,1.84,146.98,7,1128.19
27,70,-3495.14,29.63,139.30,0.04,-129.35,27,-3395.14
28,69,3472.95,50.00,55.99,23.23,193.04,18,3572.95
29,71,3421.41,77.78,23.43,85.86,380.26,9,3521.41
30,72,1137.74,50.00,52.97,1.91,94.91,12,1237.74
31,73,1248.98,75.00,4.54,2.08,156.22,8,1348.98
32,75,-3425.02,25.00,51.21,0.03,-428.03,8,-3325.02
33,74,3423.46,40.00,70.90,31.57,228.33,15,3523.46
34,76,1085.42,40.00,71.32,1.87,108.64,10,1185.42
35,77,3418.78,60.00,28.26,57.06,341.98,10,3518.78
36,78,3511.38,75.00,6.22,316.92,439.02,8,3611.38
37,79,-3439.95,33.33,55.93,0.02,-382.12,9,-3339.95
38,80,3411.16,66.67,12.74,103.05,379.12,9,3511.16
39,81,3449.31,66.67,22.60,68.51,383.36,9,3549.31
40,82,3514.41,69.23,33.40,54.33,270.44,13,3614.41
41,84,-1126.10,42.86,47.82,0.52,-160.77,7,-1026.10
42,85,3624.07,83.33,7.93,195.70,604.11,6,3724.07
43,83,3344.51,60.00,66.64,32.12,334.55,10,3444.51
44,86,-1183.24,28.57,69.28,0.50,-168.93,7,-1083.24
45,88,3607.89,72.73,24.65,53.13,328.09,11,3707.89
46,87,-3442.78,35.71,109.39,0.04,-122.86,28,-3342.78
47,89,3642.89,100.00,0.22,999.00,728.68,5,3742.89
48,90,3621.89,83.33,7.91,195.71,603.75,6,3721.89
49,92,3357.55,50.00,49.87,45.06,419.79,8,3457.55
50,91,1191.13,66.67,25.19,2.02,132.45,9,1291.13
51,93,3599.57,75.00,11.20,334.30,899.99,4,3699.57
52,94,3358.85,55.56,49.92,44.79,373.31,9,3458.85
53,96,-3696.39,46.15,29.07,0.04,-284.23,13,-3596.39
54,95,3596.56,75.00,11.21,333.76,899.24,4,3696.56
55,97,-1113.39,50.00,23.61,0.52,-185.47,6,-1013.39
56,98,-3397.22,28.57,26.32,0.02,-485.22,7,-3297.22
57,99,1157.48,50.00,37.29,1.97,115.85,10,1257.48
58,100,3393.33,61.54,41.85,37.52,261.13,13,3493.33
59,101,-1140.23,37.50,51.31,0.52,-142.43,8,-1040.23
60,102,3386.42,58.33,40.32,42.09,282.30,12,3486.42
61,103,-3425.14,16.67,37.42,0.01,-570.76,6,-3325.14
62,104,-3369.83,28.57,78.33,0.03,-160.37,21,-3269.83
63,107,3385.76,60.00,40.37,42.12,338.68,10,3485.76
64,105,3511.44,60.00,37.48,29.39,234.20,15,3611.44
65,108,3449.24,45.00,67.60,23.22,172.56,20,3549.24
66,106,3367.14,55.56,46.14,52.13,374.23,9,3467.14
67,109,-3301.86,50.00,40.31,0.06,-149.98,22,-3201.86
68,110,3594.62,75.00,11.21,333.69,898.75,4,3694.62
69,111,3594.92,75.00,11.21,333.63,898.83,4,3694.92
70,112,-3468.47,14.29,67.19,0.01,-495.40,7,-3368.47
71,113,3612.38,80.00,17.50,195.15,722.58,5,3712.38
72,114,3449.27,69.23,35.17,47.03,265.43,13,3549.27
73,115,-3508.83,46.43,70.91,0.05,-125.22,28,-3408.83
74,116,3401.92,54.55,36.75,46.00,309.37,11,3501.92
75,117,3624.23,83.33,7.92,195.76,604.14,6,3724.23
